	num_particles	process_std	measurement_std	g	h	rotflip_const	mean_test_score	mean_score_time
60	600	0.01	0.02	0.5	0.5	0.05	-0.003698558699765206	0.5066721439361572
90	2500	0.01	0.0175	0.75	0.75	0.05	-0.0037082424526676885	0.818598747253418
80	600	0.01	0.0175	0.75	0.5	0.05	-0.0037102310532230076	0.4522366523742676
1	600	0.02	0.0175	0.2	0.25	0.05	-0.0037102921637058818	0.5269129276275635
9	600	0.02	0.0175	0.2	0.5	0.05	-0.003712487306466181	0.5213189125061035
51	2500	0.02	0.0175	0.5	0.25	0.05	-0.003713295158895426	1.0864496231079102
49	600	0.02	0.0175	0.5	0.25	0.05	-0.0037134645377282453	0.5352413654327393
86	2500	0.01	0.02	0.75	0.5	0.05	-0.0037136632341130396	0.87648606300354
25	600	0.02	0.0175	0.4	0.25	0.05	-0.003713726225712916	0.5352284908294678
17	600	0.02	0.0175	0.2	0.75	0.05	-0.0037146030944504443	0.4956483840942383
6	2500	0.01	0.02	0.2	0.25	0.05	-0.003714770755890197	0.8552260398864746
33	600	0.02	0.0175	0.4	0.5	0.05	-0.003715063158472637	0.5060756206512451
22	2500	0.01	0.02	0.2	0.75	0.05	-0.0037151374772895875	0.8831610679626465
69	600	0.02	0.02	0.5	0.75	0.05	-0.0037151765051148524	0.6698181629180908
24	600	0.01	0.0175	0.4	0.25	0.05	-0.0037159391865092843	0.47016429901123047
56	600	0.01	0.0175	0.5	0.5	0.05	-0.003715940576696621	0.5325357913970947
30	2500	0.01	0.02	0.4	0.25	0.05	-0.003716058398193987	0.833247184753418
64	600	0.01	0.0175	0.5	0.75	0.05	-0.0037163288506336344	0.4369692802429199
95	2500	0.02	0.02	0.75	0.75	0.05	-0.0037164454095348293	1.1694443225860596
92	600	0.01	0.02	0.75	0.75	0.05	-0.0037165356525191385	0.42374324798583984
14	2500	0.01	0.02	0.2	0.5	0.05	-0.003716663701135905	0.8430702686309814
87	2500	0.02	0.02	0.75	0.5	0.05	-0.003716908507693459	1.2705836296081543
43	2500	0.02	0.0175	0.4	0.75	0.05	-0.0037171735948311408	1.1650645732879639
71	2500	0.02	0.02	0.5	0.75	0.05	-0.003717541833244668	1.279876947402954
75	2500	0.02	0.0175	0.75	0.25	0.05	-0.0037175527484555456	1.1145730018615723
45	600	0.02	0.02	0.4	0.75	0.05	-0.00371779006662572	0.5344343185424805
19	2500	0.02	0.0175	0.2	0.75	0.05	-0.0037178651778010992	1.1732172966003418
47	2500	0.02	0.02	0.4	0.75	0.05	-0.0037180456239018925	1.1761865615844727
61	600	0.02	0.02	0.5	0.5	0.05	-0.003718086948136216	0.545891523361206
62	2500	0.01	0.02	0.5	0.5	0.05	-0.00371808768198294	0.8472657203674316
3	2500	0.02	0.0175	0.2	0.25	0.05	-0.0037181281298282166	1.349259853363037
20	600	0.01	0.02	0.2	0.75	0.05	-0.0037181622347057415	0.44527292251586914
65	600	0.02	0.0175	0.5	0.75	0.05	-0.003718223292528592	0.5249199867248535
18	2500	0.01	0.0175	0.2	0.75	0.05	-0.0037183042533927447	0.8496494293212891
91	2500	0.02	0.0175	0.75	0.75	0.05	-0.003718347582373282	1.1370508670806885
67	2500	0.02	0.0175	0.5	0.75	0.05	-0.0037185847418762298	1.283310890197754
89	600	0.02	0.0175	0.75	0.75	0.05	-0.003718675161853777	0.5422830581665039
55	2500	0.02	0.02	0.5	0.25	0.05	-0.0037187228527945544	1.4157276153564453
59	2500	0.02	0.0175	0.5	0.5	0.05	-0.003719183752111134	1.281724452972412
39	2500	0.02	0.02	0.4	0.5	0.05	-0.0037192480356849234	1.101341962814331
77	600	0.02	0.02	0.75	0.25	0.05	-0.003719513292284331	0.5230081081390381
79	2500	0.02	0.02	0.75	0.25	0.05	-0.003719600981324734	1.1626863479614258
15	2500	0.02	0.02	0.2	0.5	0.05	-0.0037198898406188684	1.1247799396514893
23	2500	0.02	0.02	0.2	0.75	0.05	-0.003720034890658884	1.2197785377502441
73	600	0.02	0.0175	0.75	0.25	0.05	-0.003720263610853021	0.5214486122131348
46	2500	0.01	0.02	0.4	0.75	0.05	-0.003720322865927034	0.8596701622009277
11	2500	0.02	0.0175	0.2	0.5	0.05	-0.0037204022004889772	1.2027604579925537
85	600	0.02	0.02	0.75	0.5	0.05	-0.0037206387181617723	0.5444860458374023
53	600	0.02	0.02	0.5	0.25	0.05	-0.00372069414864504	0.5058305263519287
35	2500	0.02	0.0175	0.4	0.5	0.05	-0.0037207128863253345	1.2078180313110352
41	600	0.02	0.0175	0.4	0.75	0.05	-0.0037207268605828417	0.5142331123352051
81	600	0.02	0.0175	0.75	0.5	0.05	-0.0037207365427767256	0.6229987144470215
83	2500	0.02	0.0175	0.75	0.5	0.05	-0.003721258616515537	1.3383233547210693
48	600	0.01	0.0175	0.5	0.25	0.05	-0.0037214143743193612	0.46654772758483887
5	600	0.02	0.02	0.2	0.25	0.05	-0.0037219480167117853	0.5372412204742432
74	2500	0.01	0.0175	0.75	0.25	0.05	-0.0037222363473682013	0.8204963207244873
31	2500	0.02	0.02	0.4	0.25	0.05	-0.003722343420541869	1.202012538909912
13	600	0.02	0.02	0.2	0.5	0.05	-0.003722708071207538	0.5421802997589111
63	2500	0.02	0.02	0.5	0.5	0.05	-0.0037231030369738005	1.2155029773712158
7	2500	0.02	0.02	0.2	0.25	0.05	-0.0037231619448974645	1.197800874710083
84	600	0.01	0.02	0.75	0.5	0.05	-0.003723426257252557	0.4651453495025635
58	2500	0.01	0.0175	0.5	0.5	0.05	-0.003723536745955887	0.9198367595672607
57	600	0.02	0.0175	0.5	0.5	0.05	-0.0037238984333109507	0.5394282341003418
72	600	0.01	0.0175	0.75	0.25	0.05	-0.0037246382250470424	0.46146440505981445
36	600	0.01	0.02	0.4	0.5	0.05	-0.0037246865055435706	0.44699645042419434
40	600	0.01	0.0175	0.4	0.75	0.05	-0.0037249713599875793	0.41843581199645996
78	2500	0.01	0.02	0.75	0.25	0.05	-0.0037256709894930083	0.8490762710571289
10	2500	0.01	0.0175	0.2	0.5	0.05	-0.0037257239736120454	0.8230831623077393
93	600	0.02	0.02	0.75	0.75	0.05	-0.0037262303306355733	0.5152485370635986
16	600	0.01	0.0175	0.2	0.75	0.05	-0.003726301170963236	0.42650747299194336
2	2500	0.01	0.0175	0.2	0.25	0.05	-0.0037263769495649323	0.9837026596069336
82	2500	0.01	0.0175	0.75	0.5	0.05	-0.003726412722060049	0.923325777053833
34	2500	0.01	0.0175	0.4	0.5	0.05	-0.003726526969619803	0.8170750141143799
88	600	0.01	0.0175	0.75	0.75	0.05	-0.0037271117278488016	0.4449613094329834
76	600	0.01	0.02	0.75	0.25	0.05	-0.0037276258159602543	0.44321203231811523
37	600	0.02	0.02	0.4	0.5	0.05	-0.0037278271805337923	0.5068941116333008
32	600	0.01	0.0175	0.4	0.5	0.05	-0.003727876313663672	0.4441225528717041
29	600	0.02	0.02	0.4	0.25	0.05	-0.003727902102416294	0.5150794982910156
8	600	0.01	0.0175	0.2	0.5	0.05	-0.003728793140712285	0.523125171661377
26	2500	0.01	0.0175	0.4	0.25	0.05	-0.0037288027215615256	0.8485143184661865
27	2500	0.02	0.0175	0.4	0.25	0.05	-0.003728809427549785	1.1265573501586914
70	2500	0.01	0.02	0.5	0.75	0.05	-0.0037302311536409846	0.9668681621551514
54	2500	0.01	0.02	0.5	0.25	0.05	-0.0037306114329676713	0.8326990604400635
66	2500	0.01	0.0175	0.5	0.75	0.05	-0.003731071247693174	0.8432729244232178
0	600	0.01	0.0175	0.2	0.25	0.05	-0.0037313453813185623	0.4273390769958496
42	2500	0.01	0.0175	0.4	0.75	0.05	-0.003731511886362477	0.8307061195373535
21	600	0.02	0.02	0.2	0.75	0.05	-0.003731947871631084	0.5491342544555664
52	600	0.01	0.02	0.5	0.25	0.05	-0.003732746473326986	0.43327832221984863
50	2500	0.01	0.0175	0.5	0.25	0.05	-0.0037328749514681254	0.7957613468170166
68	600	0.01	0.02	0.5	0.75	0.05	-0.0037329009333292064	0.46981048583984375
44	600	0.01	0.02	0.4	0.75	0.05	-0.00373312305687107	0.44905567169189453
12	600	0.01	0.02	0.2	0.5	0.05	-0.003734750562232297	0.45599889755249023
94	2500	0.01	0.02	0.75	0.75	0.05	-0.003735495448840927	0.846182107925415
28	600	0.01	0.02	0.4	0.25	0.05	-0.0037357973015194187	0.42720961570739746
4	600	0.01	0.02	0.2	0.25	0.05	-0.0037377754728244133	0.4438178539276123
38	2500	0.01	0.02	0.4	0.5	0.05	-0.0037385701779956483	0.8279643058776855
